Season,Week,Player,Team,Position,Injuries,Game Status
2010,11,Clinton Portis,WAS,RB,Groin,Questionable
2010,13,Adrian Peterson,MIN,RB,Ankle,Questionable
2010,14,Julius Jones,NOR,RB,Ankle,Probable
2010,16,Ovie Mughelli,ATL,RB,Shoulder,Questionable
2010,17,Greg Jones,JAX,RB,Back,Probable
2010,17,Ryan Torain,WAS,RB,Ribs,Questionable
2011,1,Alfonso Smith,ARI,RB,Hamstring,Probable
2011,1,Daniel Thomas,MIA,RB,Hamstring,Questionable
2011,2,Joe McKnight,NYJ,RB,Finger,Probable
2011,3,Felix Jones,DAL,RB,Shoulder,Questionable
2011,4,Marion Barber,CHI,RB,Calf,Probable
2011,4,Arian Foster,HOU,RB,Hamstring,Probable
2011,4,Darrel Young,WAS,RB,Hamstring,Questionable
2011,6,Montell Owens,JAX,RB,Knee,Out
2011,6,Daniel Thomas,MIA,RB,Hamstring,Questionable
2011,6,LaDainian Tomlinson,NYJ,RB,Calf,Probable
2011,6,Rock Cartwright,OAK,RB,Calf,Questionable
2011,7,Marshawn Lynch,SEA,RB,Ankle,Probable
2011,8,Daniel Thomas,MIA,RB,Hamstring,Questionable
2011,9,Anthony Allen,BAL,RB,Thigh,Questionable
2011,9,Willis McGahee,DEN,RB,Hand,Probable
2011,9,Ahmad Bradshaw,NYG,RB,Foot,Doubtful
2011,9,Henry Hynoski,NYG,RB,Neck,Questionable
2011,9,Marcel Reece,OAK,RB,Ankle,Probable
2011,10,Anthony Sherman,ARI,RB,Ankle,Questionable
2011,10,Chris Ivory,NOR,RB,Hamstring,Questionable
2011,10,Mark Ingram,NOR,RB,Heel,Probable
2011,10,Henry Hynoski,NYG,RB,Neck,Probable
2011,10,Marcel Reece,OAK,RB,Shoulder,Probable
2011,10,Ahmard Hall,TEN,RB,Back,Questionable
2011,11,Peyton Hillis,CLE,RB,Hamstring,Out
2011,12,Anthony Allen,BAL,RB,Thigh,Questionable
2011,12,Ryan Mathews,SDG,RB,Knee,Probable
2011,13,Shane Vereen,NWE,RB,Hamstring,Questionable
2011,14,Peyton Hillis,CLE,RB,Hip,Questionable
2011,14,Danny Woodhead,NWE,RB,Abdomen,Questionable
2011,15,James Starks,GNB,RB,"Knee, Ankle",Questionable
2011,15,Mark Ingram,NOR,RB,Toe,Out
2011,15,Mike Sellers,WAS,RB,Elbow,Out
2011,16,Owen Marecic,CLE,RB,"Head, Ankle",Probable
