Date,Team,Acq,Rel,Notes,Acquired,Relinquished
12/8/2023,Eagles,,• Jalen Carter,"fined $16,937 by NFL for late hit",#VALUE!,Jalen Carter
12/8/2023,Falcons,,• Kaden Elliss,"fined $10,927 by NFL for late hit",#VALUE!,Kaden Elliss
12/8/2023,Jaguars,,• Roy Robertson-Harris,"fined $10,927 by NFL for unsportsmanlike conduct",#VALUE!,Roy Robertson-Harris
12/8/2023,Lions,,• Bruce Irvin,"fined $7,766 by NFL for roughing the passer",#VALUE!,Bruce Irvin
12/8/2023,Lions,,• Kerby Joseph,"fined $6,230 by NFL for unsportsmanlike conduct",#VALUE!,Kerby Joseph
12/8/2023,Panthers,,• Brian Burns,"fined $11,473 by NFL for fighting",#VALUE!,Brian Burns
12/8/2023,Saints,,• Adam Prentice,"fined $5,222 by NFL for chop block",#VALUE!,Adam Prentice
12/8/2023,Seahawks,,• Jamal Adams,"fined $10,927 by NFL for late hit",#VALUE!,Jamal Adams
12/8/2023,Seahawks,,• Quandre Diggs,"fined $10,927 by NFL for taunting",#VALUE!,Quandre Diggs
12/8/2023,Steelers,,• Elandon Roberts,"fined $21,855 by NFL for hit to a defenseless receiver",#VALUE!,Elandon Roberts
12/8/2023,Titans,,• Amani Hooker,"fined $13,659 by NFL for excessive celebration",#VALUE!,Amani Hooker
12/8/2023,Titans,,• K'Von Wallace,"fined $5,611 by NFL for taunting",#VALUE!,K'Von Wallace
12/8/2023,Chiefs,,• Justyn Ross,suspended by NFL for 6 games for violating the league's personal conduct policy (including previous 5 games spent on exempt/commissioner permission list),#VALUE!,Justyn Ross
12/11/2023,Chiefs,• Justyn Ross,,reinstated from suspension,Justyn Ross,#VALUE!
12/13/2023,,• Rolando McClain,,reinstated from suspension,Rolando McClain,#VALUE!
12/15/2023,49ers,,• Deommodore Lenoir,"fined $5,617 by NFL for his role in a fight before game",#VALUE!,Deommodore Lenoir
12/15/2023,49ers,,• Fred Warner,"fined $5,617 by NFL for his role in a fight before game",#VALUE!,Fred Warner
12/15/2023,Bengals,,• Trey Hendrickson,"fined $21,855 by NFL for roughing the passer",#VALUE!,Trey Hendrickson
12/15/2023,Bills,,• Cameron Lewis / Cam Lewis,"fined $6,305 by NFL for unsportsmanlike conduct",#VALUE!,Cameron Lewis / Cam Lewis
12/15/2023,Broncos,,• Jonathon Cooper,"fined $5,362 by NFL for excessive celebration",#VALUE!,Jonathon Cooper
12/15/2023,Broncos,,• Josey Jewell,"fined $13,659 by NFL for excessive celebration",#VALUE!,Josey Jewell
12/15/2023,Browns,,• Myles Garrett,"fined $25,000 by NFL for verbally abusing officials",#VALUE!,Myles Garrett
12/15/2023,Chargers,,• Alohi Gilman,"fined $5,872 by NFL for unsportsmanlike conduct",#VALUE!,Alohi Gilman
12/15/2023,Chiefs,,• Patrick Mahomes,"fined $50,000 by NFL for verbally abusing officials",#VALUE!,Patrick Mahomes
12/15/2023,Dolphins,,• Bradley Chubb,"fined $13,659 by NFL for unsportsmanlike conduct",#VALUE!,Bradley Chubb
12/15/2023,Eagles,,• Eli Ricks,"fined $4,185 by NFL for helmet to helmet hit",#VALUE!,Eli Ricks
12/15/2023,Eagles,,• Reed Blankenship,"fined $4,843 by NFL for hit to the head of opposing player",#VALUE!,Reed Blankenship
12/15/2023,Lions,,• Alex Anzalone,"fined $10,927 by NFL for late hit",#VALUE!,Alex Anzalone
12/15/2023,Packers,,• Anthony Johnson Jr.,"fined $4,283 by NFL for unnecessary roughness",#VALUE!,Anthony Johnson Jr.
12/15/2023,Patriots,,• Brenden Schooler,"fined $4,861 by NFL for late hit",#VALUE!,Brenden Schooler
12/15/2023,Raiders,,• Brandon Bolden,"fined $15,666 by NFL for unsportsmanlike conduct",#VALUE!,Brandon Bolden
12/15/2023,Rams,,• Demarcus Robinson,"fined $6,472 by NFL for excessive celebration",#VALUE!,Demarcus Robinson
12/15/2023,Rams,,• Kyren Williams,"fined $5,264 by NFL for low block",#VALUE!,Kyren Williams
12/15/2023,Ravens,,• Marcus Williams (Alan),"fined $6,472 by NFL for hit to a defenseless receiver",#VALUE!,Marcus Williams (Alan)
12/15/2023,Seahawks,,• D.K. Metcalf,"fined $19,123 by NFL for his role in brawl",#VALUE!,D.K. Metcalf
12/15/2023,Seahawks,,• DeeJay Dallas,"fined $6,297 by NFL for late hit",#VALUE!,DeeJay Dallas
12/15/2023,Texans,,• Will Anderson Jr.,"fined $16,391 by NFL for roughing the passer",#VALUE!,Will Anderson Jr.
12/15/2023,Titans,,• Amani Hooker,"fined $21,855 by NFL for helmet to helmet hit",#VALUE!,Amani Hooker
12/18/2023,Steelers,,• Damontae Kazee,suspended by NFL for remainder of the regular season for repeated violations of playing rules intended to protect the health and safety of players,#VALUE!,Damontae Kazee
12/18/2023,Broncos,• Kareem Jackson,,activated from reserve/suspended list,Kareem Jackson,#VALUE!
12/19/2023,Colts,,• Isaiah McKenzie,suspended by team for 3 games for conduct detrimental to the team,#VALUE!,Isaiah McKenzie
12/19/2023,Colts,,• Tony Brown (Mendell),suspended by team for 3 games for conduct detrimental to the team,#VALUE!,Tony Brown (Mendell)
12/22/2023,Bills,,• Taylor Rapp,"fined $21,855 by NFL for helmet to helmet hit",#VALUE!,Taylor Rapp
12/22/2023,Bills,,• Tyrel Dodson,"fined $11,167 by NFL for roughing the passer",#VALUE!,Tyrel Dodson
12/22/2023,Browns,,• Za'Darius Smith,"fined $16,391 by NFL for roughing the passer",#VALUE!,Za'Darius Smith
12/22/2023,Colts,,• Julius Brents / JuJu Brents,"fined $8,280 by NFL for unsportsmanlike conduct",#VALUE!,Julius Brents / JuJu Brents
12/22/2023,Commanders,,• Da'Ron Payne / Daron Payne,"fined $10,927 by NFL for unsportsmanlike conduct",#VALUE!,Da'Ron Payne / Daron Payne
12/22/2023,Cowboys,,• Damone Clark,"fined $5,170 by NFL for late hit",#VALUE!,Damone Clark
12/22/2023,Dolphins,,• Bradley Chubb,"fined $16,391 by NFL for roughing the passer",#VALUE!,Bradley Chubb
12/22/2023,Jets,,• Laken Tomlinson,"fined $21,855 by NFL for unnecessary roughness",#VALUE!,Laken Tomlinson
12/22/2023,Patriots,,• Demario Douglas,"fined $4,352 by NFL for face mask",#VALUE!,Demario Douglas
12/22/2023,Raiders,,• Amik Robertson,"fined $6,298 by NFL for unsportsmanlike conduct",#VALUE!,Amik Robertson
12/22/2023,Rams,,• Derion Kendrick,"fined $16,391 by NFL for unnecessary roughness",#VALUE!,Derion Kendrick
12/22/2023,Ravens,,• Ronnie Stanley,"fined $21,855 by NFL for impermissible use of the head",#VALUE!,Ronnie Stanley
12/22/2023,Steelers,,• Mykal Walker,"fined $5,611 by NFL for horse collar tackle",#VALUE!,Mykal Walker
12/23/2023,Lions,,• Brian Branch,"fined $8,103 by NFL for helmet to helmet hit",#VALUE!,Brian Branch
12/27/2023,Packers,,• Jaire Alexander,suspended by team for 1 games for conduct detrimental to the team,#VALUE!,Jaire Alexander
12/29/2023,49ers,,• Mitch Wishnowsky,"fined $9,167 by NFL for late hit",#VALUE!,Mitch Wishnowsky
12/29/2023,Bills,,• Spencer Brown (b. 1998-02-28),"fined $7,159 by NFL for tripping",#VALUE!,Spencer Brown (b. 1998-02-28)
12/29/2023,Bills,,• Taron Johnson,"fined $21,855 by NFL for helmet to helmet hit",#VALUE!,Taron Johnson
12/29/2023,Broncos,,• Quinn Meinerz,"fined $7,251 by NFL for unsportsmanlike conduct",#VALUE!,Quinn Meinerz
12/29/2023,Buccaneers,,• Christian Izien,"fined $4,185 by NFL for taunting",#VALUE!,Christian Izien
12/29/2023,Chargers,,• Gerald Everett,"fined $10,927 by NFL for unsportsmanlike conduct",#VALUE!,Gerald Everett
12/29/2023,Dolphins,,• Cedrick Wilson Jr. / Ced Wilson,"fined $16,391 by NFL for blind-side block",#VALUE!,Cedrick Wilson Jr. / Ced Wilson
12/29/2023,Eagles,,• Jalen Hurts,"fined $16,391 by NFL for horse collar tackle",#VALUE!,Jalen Hurts
12/29/2023,Eagles,,• Sydney Brown,"fined $5,807 by NFL for late hit",#VALUE!,Sydney Brown
12/29/2023,Falcons,,• Tucker Fisk,"fined $4,167 by NFL for chop block",#VALUE!,Tucker Fisk
12/29/2023,Giants,,• Dane Belton,"fined $5,923 by NFL for unsportsmanlike conduct",#VALUE!,Dane Belton
12/29/2023,Giants,,• Saquon Barkley,"fined $21,855 by NFL for impermissible use of the helmet",#VALUE!,Saquon Barkley
12/29/2023,Jets,,• Jason Brownlee,"fined $4,222 by NFL for unsportsmanlike conduct",#VALUE!,Jason Brownlee
12/29/2023,Packers,,• Anthony Johnson Jr.,"fined $4,283 by NFL for unnecessary roughness",#VALUE!,Anthony Johnson Jr.
12/29/2023,Packers,,• Quay Walker,"fined $10,927 by NFL for unsportsmanlike conduct",#VALUE!,Quay Walker
12/29/2023,Seahawks,,• Quandre Diggs,"fined $16,391 by NFL for hit to a defenseless player",#VALUE!,Quandre Diggs
12/29/2023,Steelers,,• George Pickens,"fined $16,391 by NFL for taunting",#VALUE!,George Pickens
12/29/2023,Texans,,• Khalil Davis,"fined $5,222 by NFL for unnecessary roughness",#VALUE!,Khalil Davis
12/29/2023,Titans,,• Garret Wallow,"fined $5,222 by NFL for unsportsmanlike conduct",#VALUE!,Garret Wallow
12/29/2023,Vikings,,• Harrison Phillips,"fined $10,927 by NFL for late hit",#VALUE!,Harrison Phillips
12/29/2023,Vikings,,• Justin Jefferson,"fined $13,659 by NFL for excessive celebration",#VALUE!,Justin Jefferson
12/29/2023,Vikings,,• NaJee Thompson,"fined $4,167 by NFL for uniform violation",#VALUE!,NaJee Thompson
12/30/2023,Giants,,• Saquon Barkley,"fined $21,855 by NFL for unnecessary roughness",#VALUE!,Saquon Barkley
12/30/2023,Steelers,,• George Pickens,"fined $16,391 by NFL for unsportsmanlike conduct",#VALUE!,George Pickens
12/30/2023,Vikings,,• Justin Jefferson,"fined $13,659 by NFL for unsportsmanlike conduct",#VALUE!,Justin Jefferson
1/1/2024,Packers,• Jaire Alexander,,reinstated from suspension,Jaire Alexander,#VALUE!
1/5/2024,Bills,,• Jordan Poyer,"fined $10,927 by NFL for late hit",#VALUE!,Jordan Poyer
1/5/2024,Browns,,• Juan Thornhill,"fined $12,578 by NFL for helmet to helmet hit",#VALUE!,Juan Thornhill
1/5/2024,Buccaneers,,• Anthony Nelson,"fined $16,391 by NFL for late hit",#VALUE!,Anthony Nelson
1/5/2024,Buccaneers,,• Calijah Kancey,"fined $10,927 by NFL for unsportsmanlike conduct",#VALUE!,Calijah Kancey
1/5/2024,Colts,,• E.J. Speed,"fined $10,927 by NFL for late hit",#VALUE!,E.J. Speed
1/5/2024,Colts,,• Mo Alie-Cox,"fined $21,855 by NFL for blindside block",#VALUE!,Mo Alie-Cox
1/5/2024,Falcons,,• DeMarcco Hellams,"fined $4,314 by NFL for hit to a defenseless receiver",#VALUE!,DeMarcco Hellams
1/5/2024,Jaguars,,• Cam Robinson,"fined $10,927 by NFL for his role in a fight",#VALUE!,Cam Robinson
1/5/2024,Jets,,• Quinnen Williams,"fined $10,927 by NFL for face mask",#VALUE!,Quinnen Williams
1/5/2024,Jets,,• Quinnen Williams,"fined $16,391 by NFL for roughing the passer",#VALUE!,Quinnen Williams
1/5/2024,Panthers,,• Derrick Brown,"fined $10,927 by NFL for his role in a fight",#VALUE!,Derrick Brown
1/5/2024,Patriots,,• Jalen Mills,"fined $16,136 by NFL for impermissible use of the helmet",#VALUE!,Jalen Mills
1/5/2024,Raiders,,• Ameer Abdullah,"fined $9,500 by NFL for hit to a defenseless receiver",#VALUE!,Ameer Abdullah
1/5/2024,Texans,,• Desmond King II,"fined $10,927 by NFL for hit to a defenseless receiver",#VALUE!,Desmond King II
1/7/2024,Steelers,• Damontae Kazee,,reinstated from suspension,Damontae Kazee,#VALUE!
1/7/2024,Steelers,• Damontae Kazee,,activated from reserve/suspended list,Damontae Kazee,#VALUE!
1/8/2024,Broncos,• Eyioma Uwazurike,,activated from reserve/suspended list,Eyioma Uwazurike,#VALUE!
1/8/2024,Colts,• Isaiah McKenzie,,activated from reserve/suspended list,Isaiah McKenzie,#VALUE!
1/8/2024,Browns,• Michael Woods II / Mike Woods,,reinstated from suspension,Michael Woods II / Mike Woods,#VALUE!
1/8/2024,Colts,• Al-Quadin Muhammad,,reinstated from suspension,Al-Quadin Muhammad,#VALUE!
1/8/2024,Colts,• Tony Brown (Mendell),,activated from reserve/suspended list,Tony Brown (Mendell),#VALUE!
1/8/2024,Browns,• Michael Woods II / Mike Woods,,activated from reserve/suspended list,Michael Woods II / Mike Woods,#VALUE!
1/8/2024,Colts,• Al-Quadin Muhammad,,activated from reserve/suspended list,Al-Quadin Muhammad,#VALUE!
1/12/2024,Colts,,• Ronnie Harrison Jr.,"fined $6,000 by NFL for unnecessary roughness",#VALUE!,Ronnie Harrison Jr.
1/12/2024,Commanders,,• Cody Barton,"fined $10,927 by NFL",#VALUE!,Cody Barton
1/12/2024,Jaguars,,• Roy Robertson-Harris,"fined $16,391 by NFL for late hit",#VALUE!,Roy Robertson-Harris
1/12/2024,Rams,,• Quentin Lake,"fined $5,017 by NFL for unnecessary roughness",#VALUE!,Quentin Lake
1/12/2024,Seahawks,,• Devon Witherspoon,"fined $10,927 by NFL for unsportsmanlike conduct",#VALUE!,Devon Witherspoon
1/12/2024,Steelers,,• Connor Heyward,"fined $5,049 by NFL for unnecessary roughness",#VALUE!,Connor Heyward
1/12/2024,Texans,,• Desmond King II,"fined $11,039 by NFL for unnecessary roughness",#VALUE!,Desmond King II
1/12/2024,Vikings,,• Brian Asamoah II,"fined $6,928 by NFL for unnecessary roughness",#VALUE!,Brian Asamoah II
1/16/2024,Eagles,• Isaiah Rodgers,,activated from reserve/suspended list,Isaiah Rodgers,#VALUE!
1/19/2024,Buccaneers,,• K.J. Britt,"fined $5,592 by NFL for facemask",#VALUE!,K.J. Britt
1/19/2024,Lions,,• Kerby Joseph,"fined $5,052 by NFL for impermissible use of the helmet",#VALUE!,Kerby Joseph
1/19/2024,Rams,,• Tre'Vius Hodges-Tomlinson / Tre Tomlinson,"fined $4,444 by NFL for unnecessary roughness",#VALUE!,Tre'Vius Hodges-Tomlinson / Tre Tomlinson
1/19/2024,Texans,,• Jalen Pitre,"fined $10,927 by NFL for hit to a defenseless receiver",#VALUE!,Jalen Pitre
1/27/2024,Ravens,,• Morgan Moses,"fined $13,659 by NFL for unsportsmanlike conduct",#VALUE!,Morgan Moses
2/3/2024,Ravens,,• Travis Jones,"fined $6,700 by NFL for roughing the passer",#VALUE!,Travis Jones
2/3/2024,Ravens,,• Zay Flowers,"fined $10,927 by NFL for unsportsmanlike conduct / taunting",#VALUE!,Zay Flowers
2/16/2024,Raiders,,• Jimmy Garoppolo,suspended by NFL for 2 games for violating the league's performance enhancing substances policy,#VALUE!,Jimmy Garoppolo
4/2/2024,Vikings,,• Wes Phillips,suspended as offensive coordinator by team for 3 weeks following legal resolution of a 2023 traffic stop,#VALUE!,Wes Phillips
4/18/2024,,• C.J. Moore,,reinstated from suspension,C.J. Moore,#VALUE!
4/18/2024,,• Demetrius Taylor (Latron),,reinstated from suspension,Demetrius Taylor (Latron),#VALUE!
4/18/2024,,• Quintez Cephus,,reinstated from suspension,Quintez Cephus,#VALUE!
4/18/2024,,• Rashod Berry,,reinstated from suspension,Rashod Berry,#VALUE!
4/18/2024,Commanders,• Shaka Toney,,reinstated from suspension,Shaka Toney,#VALUE!
4/22/2024,Vikings,• Wes Phillips,,reinstated as offensive coordinator from suspension,Wes Phillips,#VALUE!
4/23/2024,Eagles,• Isaiah Rodgers,,reinstated from suspension,Isaiah Rodgers,#VALUE!
6/13/2024,Falcons,,• Terry Fontenot,"fined as general manager $50,000 by NFL for violating the anti-tampering policy",#VALUE!,Terry Fontenot
7/2/2024,,,• Tashaun Gipson,suspended by NFL for 6 games for violating the league's substance abuse policy,#VALUE!,Tashaun Gipson
7/8/2024,Steelers,,• Cameron Sutton / Cam Sutton,suspended by NFL for 8 games for violating the league's personal conduct policy,#VALUE!,Cameron Sutton / Cam Sutton
7/29/2024,Texans,,• Denico Autry,suspended by NFL for 6 games for violation of the league's performance enhancing drug policy,#VALUE!,Denico Autry
7/30/2024,Titans,,• Arden Key,suspended by NFL for 6 games for violating the league's substance abuse policy,#VALUE!,Arden Key
8/20/2024,,,• Kevin Strong,suspended by NFL for 3 games,#VALUE!,Kevin Strong
8/23/2024,,,• J.C. Jackson,suspended by NFL for 1 games for violating the league's personal conduct policy,#VALUE!,J.C. Jackson
8/23/2024,Cardinals,,• Zay Jones,suspended by NFL for 5 games for violating the league's personal conduct policy,#VALUE!,Zay Jones
8/23/2024,Jaguars,,• Chris Claybrooks,suspended by NFL for 8 games for violating the league's personal conduct policy,#VALUE!,Chris Claybrooks
8/23/2024,Rams,,• Alaric Jackson / A.J. Jackson,suspended by NFL for 2 games for violating the league's personal conduct policy,#VALUE!,Alaric Jackson / A.J. Jackson
8/25/2024,Cowboys,,• Al-Quadin Muhammad,suspended by NFL for 1 games for violating the league's substance abuse policy,#VALUE!,Al-Quadin Muhammad
8/27/2024,Cardinals,,• Zay Jones,placed on reserve/suspended list for violating the league's personal conduct policy,#VALUE!,Zay Jones
8/27/2024,Cowboys,,• Al-Quadin Muhammad,placed on reserve/suspended list,#VALUE!,Al-Quadin Muhammad
8/27/2024,Jaguars,,• Tashaun Gipson,placed on reserve/suspended list for violating the league's substance abuse policy,#VALUE!,Tashaun Gipson
8/27/2024,Rams,,• Alaric Jackson / A.J. Jackson,placed on reserve/suspended list,#VALUE!,Alaric Jackson / A.J. Jackson
8/27/2024,Rams,,• Jimmy Garoppolo,placed on reserve/suspended list for violating the league's performance enhancing substances policy,#VALUE!,Jimmy Garoppolo
8/27/2024,Steelers,,• Cameron Sutton / Cam Sutton,placed on reserve/suspended list for violating the league's personal conduct policy,#VALUE!,Cameron Sutton / Cam Sutton
8/27/2024,Texans,,• Denico Autry,placed on reserve/suspended list for violation of the league's performance enhancing drug policy,#VALUE!,Denico Autry
8/30/2024,,,• Michael Thomas (William),suspended by NFL for 1 games for violating the league's personal conduct policy,#VALUE!,Michael Thomas (William)
9/5/2024,Ravens,,• Adisa Isaac,hamstring injury (out),#VALUE!,Adisa Isaac
9/13/2024,Bills,,• O'Cyrus Torrence,"fined $7,855 by NFL for excessive facemask",#VALUE!,O'Cyrus Torrence
9/13/2024,Broncos,,• Brandon Jones (b. 1998-04-02),"fined $11,255 by NFL for excessive facemask",#VALUE!,Brandon Jones (b. 1998-04-02)
9/13/2024,Broncos,,• Nik Bonitto,"fined $8,791 by NFL for roughing the passer",#VALUE!,Nik Bonitto
9/13/2024,Buccaneers,,• Lavonte David,"fined $11,255 by NFL for excessive facemask",#VALUE!,Lavonte David
9/13/2024,Colts,,• Zaire Franklin,"fined $22,511 by NFL for impermissible use of the helmet",#VALUE!,Zaire Franklin
9/13/2024,Dolphins,,• Jordan Poyer,"fined $11,193 by NFL for excessive facemask",#VALUE!,Jordan Poyer
9/13/2024,Giants,,• Adoree' Jackson,"fined $9,804 by NFL for hip-drop tackle",#VALUE!,Adoree' Jackson
9/13/2024,Rams,,• Kamren Kinchens,"fined $5,653 by NFL for hit to a defenseless player",#VALUE!,Kamren Kinchens
9/13/2024,Ravens,,• Odafe Oweh / Jayson Oweh,"fined $20,050 by NFL for impermissible use of the helmet",#VALUE!,Odafe Oweh / Jayson Oweh
9/13/2024,Saints,,• Payton Turner,"fined $11,255 by NFL for late hit",#VALUE!,Payton Turner
9/13/2024,Texans,,• British Brooks,"fined $4,444 by NFL for impermissible use of the helmet",#VALUE!,British Brooks
9/14/2024,Chargers,,• Joshua Palmer / Josh Palmer,"fined $11,255 by NFL for unnecessary roughness",#VALUE!,Joshua Palmer / Josh Palmer
9/14/2024,Chiefs,,• Isiah Pacheco,"fined $5,582 by NFL for impermissible use of the helmet",#VALUE!,Isiah Pacheco
9/14/2024,Chiefs,,• Peyton Hendershot,"fined $5,472 by NFL for unsportsmanlike conduct (shoving opposing player during game)",#VALUE!,Peyton Hendershot
9/14/2024,Giants,,• Darius Muasau,"fined $4,696 by NFL for hip-drop tackle",#VALUE!,Darius Muasau
9/14/2024,Raiders,,• Christian Wilkins,"fined $11,255 by NFL for unnecessary roughness",#VALUE!,Christian Wilkins
9/14/2024,Raiders,,• Jack Jones (b. 1997-12-20),"fined $5,472 by NFL for unnecessary roughness",#VALUE!,Jack Jones (b. 1997-12-20)
9/14/2024,Raiders,,• Marcus Epps,"fined $11,817 by NFL for unnecessary roughness",#VALUE!,Marcus Epps
9/14/2024,Raiders,,• Maxx Crosby,"fined $11,255 by NFL for unnecessary roughness",#VALUE!,Maxx Crosby
9/14/2024,Ravens,,• Roquan Smith,"fined $16,883 by NFL for horse collar tackle",#VALUE!,Roquan Smith
9/16/2024,Rams,• Alaric Jackson / A.J. Jackson,,reinstated from suspension,Alaric Jackson / A.J. Jackson,#VALUE!
9/16/2024,Rams,• Jimmy Garoppolo,,reinstated from suspension,Jimmy Garoppolo,#VALUE!
9/17/2024,Browns,,• Dalvin Tomlinson,"fined $22,511 by NFL for roughing the passer",#VALUE!,Dalvin Tomlinson
9/17/2024,Cowboys,,• Trevon Diggs,"fined $16,883 by NFL for leg whip",#VALUE!,Trevon Diggs
9/20/2024,49ers,,• George Odum,"fined $11,255 by NFL for excessive facemask",#VALUE!,George Odum
9/20/2024,Bears,,• T.J. Edwards,"fined $16,883 by NFL for hip-drop tackle",#VALUE!,T.J. Edwards
9/20/2024,Bears,,• Tyrique Stevenson,"fined $8,143 by NFL for taunting",#VALUE!,Tyrique Stevenson
9/20/2024,Bears,,• Zacch Pickens,"fined $7,000 by NFL for roughing the passer",#VALUE!,Zacch Pickens
9/20/2024,Bengals,,• Andrei Iosivas,"fined $5,305 by NFL for taunting",#VALUE!,Andrei Iosivas
9/20/2024,Bengals,,• Ja'Marr Chase,"fined $31,599 by NFL for verbally abusing an official",#VALUE!,Ja'Marr Chase
9/20/2024,Broncos,,• Luke Wattenberg,"fined $5,872 by NFL for blindside block",#VALUE!,Luke Wattenberg
9/20/2024,Broncos,,• P.J. Locke,"fined $13,972 by NFL for hit to a defenseless player",#VALUE!,P.J. Locke
9/20/2024,Broncos,,• P.J. Locke,"fined $13,972 by NFL for removing helmet on field",#VALUE!,P.J. Locke
9/20/2024,Buccaneers,,• William Gholston,"fined $7,653 by NFL for roughing the passer",#VALUE!,William Gholston
9/20/2024,Cardinals,,• Mack Wilson,"fined $11,255 by NFL for taunting",#VALUE!,Mack Wilson
9/20/2024,Chiefs,,• Nick Bolton,"fined $16,883 by NFL for hip-drop tackle",#VALUE!,Nick Bolton
9/20/2024,Chiefs,,• Xavier Worthy,"fined $11,255 by NFL for taunting",#VALUE!,Xavier Worthy
9/20/2024,Eagles,,• Brandon Graham,"fined $11,255 by NFL for excessive facemask",#VALUE!,Brandon Graham
9/20/2024,Eagles,,• Chauncey Gardner-Johnson / C.J. Gardner-Johnson,"fined $11,255 by NFL for taunting",#VALUE!,Chauncey Gardner-Johnson / C.J. Gardner-Johnson
9/20/2024,Falcons,,• Drake London,"fined $14,069 by NFL for obscene gesture",#VALUE!,Drake London
9/20/2024,Falcons,,• Ray-Ray McCloud,"fined $10,528 by NFL for fighting",#VALUE!,Ray-Ray McCloud
9/20/2024,Jets,,• Chuck Clark,"fined $11,167 by NFL for horse collar tackle",#VALUE!,Chuck Clark
9/20/2024,Jets,,• Clint Mosley Jr. / C.J. Mosley,"fined $16,883 by NFL",#VALUE!,Clint Mosley Jr. / C.J. Mosley
9/20/2024,Lions,,• Terrion Arnold,"fined $11,255 by NFL for excessive facemask",#VALUE!,Terrion Arnold
9/20/2024,Rams,,• Desjuan Johnson,"fined $5,191 by NFL for hip-drop tackle",#VALUE!,Desjuan Johnson
9/20/2024,Saints,,• Derek Carr (Dallas),"fined $14,069 by NFL for obscene gesture",#VALUE!,Derek Carr (Dallas)
9/20/2024,Saints,,• Trevor Penning,"fined $11,817 by NFL for fighting",#VALUE!,Trevor Penning
9/20/2024,Seahawks,,• Anthony Bradford,"fined $6,200 by NFL for fighting",#VALUE!,Anthony Bradford
9/20/2024,Texans,,• Azeez Al-Shaair,"fined $11,817 by NFL for fighting",#VALUE!,Azeez Al-Shaair
9/20/2024,Texans,,• Mario Edwards Jr.,"fined $7,833 by NFL for roughing the passer",#VALUE!,Mario Edwards Jr.
9/20/2024,Texans,,• Nico Collins,"fined $11,817 by NFL for fighting",#VALUE!,Nico Collins
9/20/2024,Titans,,• Jeffery Simmons,"fined $16,883 by NFL for roughing the passer",#VALUE!,Jeffery Simmons
9/20/2024,Vikings,,• Jihad Ward,"fined $9,667 by NFL for late hit",#VALUE!,Jihad Ward
9/23/2024,Chargers,,• Derwin James Jr.,suspended by NFL for 1 games for repeated violations of playing rules intended to protect the health and safety of players,#VALUE!,Derwin James Jr.
9/25/2024,Chargers,,• Derwin James Jr.,placed on reserve/suspended list,#VALUE!,Derwin James Jr.
9/27/2024,Bears,,• Montez Sweat,"fined $16,883 by NFL for horse collar tackle",#VALUE!,Montez Sweat
9/27/2024,Chargers,,• Khalil Mack,"fined $16,883 by NFL for roughing the passer",#VALUE!,Khalil Mack
9/27/2024,Chiefs,,• Jaylen Watson,"fined $5,591 by NFL for horse collar tackle",#VALUE!,Jaylen Watson
9/27/2024,Chiefs,,• Samaje Perine,"fined $8,333 by NFL for impermissible use of the helmet",#VALUE!,Samaje Perine
9/27/2024,Colts,,• E.J. Speed,"fined $16,883 by NFL for roughing the passer",#VALUE!,E.J. Speed
9/27/2024,Cowboys,,• CeeDee Lamb,"fined $22,511 by NFL for impermissible use of the helmet",#VALUE!,CeeDee Lamb
9/27/2024,Cowboys,,• Markquese Bell,"fined $5,500 by NFL for impermissible use of the helmet",#VALUE!,Markquese Bell
9/27/2024,Dolphins,,• Alec Ingold,"fined $11,817 by NFL for low block",#VALUE!,Alec Ingold
9/27/2024,Dolphins,,• Duke Riley,"fined $16,883 by NFL for blindside block",#VALUE!,Duke Riley
9/27/2024,Dolphins,,• Kader Kohou,"fined $5,528 by NFL for excessive facemask",#VALUE!,Kader Kohou
9/27/2024,Eagles,,• Chauncey Gardner-Johnson / C.J. Gardner-Johnson,"fined $16,883 by NFL for taunting",#VALUE!,Chauncey Gardner-Johnson / C.J. Gardner-Johnson
9/27/2024,Eagles,,• Chauncey Gardner-Johnson / C.J. Gardner-Johnson,"fined $11,255 by NFL for late hit",#VALUE!,Chauncey Gardner-Johnson / C.J. Gardner-Johnson
9/27/2024,Falcons,,• Justin Simmons,"fined $22,511 by NFL for impermissible use of the helmet",#VALUE!,Justin Simmons
9/27/2024,Jets,,• Irvin Charles,"fined $14,069 by NFL for inappropriate gesture",#VALUE!,Irvin Charles
9/27/2024,Jets,,• Jamien Sherwood,"fined $6,354 by NFL for late hit",#VALUE!,Jamien Sherwood
9/27/2024,Lions,,• Brian Branch,"fined $10,128 by NFL for impermissible use of the helmet",#VALUE!,Brian Branch
9/27/2024,Lions,,• Brian Branch,"fined $10,128 by NFL for fighting",#VALUE!,Brian Branch
9/27/2024,Lions,,• Jalen Reeves-Maybin,"fined $11,255 by NFL for late hit",#VALUE!,Jalen Reeves-Maybin
9/27/2024,Lions,,• Kerby Joseph,"fined $7,505 by NFL for hit to a defenseless player",#VALUE!,Kerby Joseph
9/27/2024,Packers,,• Josh Jacobs,"fined $45,020 by NFL for impermissible use of the helmet",#VALUE!,Josh Jacobs
9/27/2024,Patriots,,• Rhamondre Stevenson,"fined $11,255 by NFL for unnecessary roughness / excessive facemask",#VALUE!,Rhamondre Stevenson
